id,institution,address,purpose,latitude,longitude
40110,대구광역시 남구청,대구광역시 남구 두류공원로15길 27-1 (1),생활방범,35.84255795,128.5704857
40111,대구광역시 남구청,대구광역시 남구 대명동 명덕로8길 48,생활방범,35.8573952,128.5750752
40112,대구광역시 남구청,대구광역시 남구 영선시장2길 51,생활방범,35.85239139,128.592349
40113,대구광역시 남구청,대구광역시 남구 영선시장2길 51 (2),생활방범,35.85232179,128.5922775
40114,대구광역시 남구청,대구광역시 남구 봉덕동 841-120,생활방범,35.8448528,128.6061038
40115,대구광역시 남구청,대구광역시 남구 봉덕동 841-120,생활방범,35.8448528,128.6061038
40116,대구광역시 남구청,대구광역시 남구 이천동 657-1,생활방범,35.85128365,128.6070164
40117,대구광역시 남구청,대구광역시 남구 이천동 657-1,생활방범,35.85128365,128.6070164
40118,대구광역시 남구청,대구광역시 남구 봉덕동 봉덕로27길 31,생활방범,35.84605126,128.6027259
40119,대구광역시 남구청,대구광역시 남구 봉덕동 대덕로 193,생활방범,35.84152389,128.6040099
40120,대구광역시 남구청,대구광역시 남구 봉덕동 대봉로 36 A동,생활방범,35.84185006,128.6043845
40121,대구광역시 남구청,대구광역시 남구 대명동 대명로54길 21,생활방범,35.84226321,128.586734
40122,대구광역시 남구청,대구광역시 남구 대명동 산200-8,생활방범,35.8314247,128.574645
40123,대구광역시 남구청,대구광역시 남구 대명로19길 13,생활방범,35.84020109,128.5676128
40124,대구광역시 남구청,대구광역시 남구 대명동 현충로19길 109-8,생활방범,35.84263608,128.5740003
40125,대구광역시 남구청,대구광역시 남구 명덕로68길 43,생활방범,35.85297334,128.6061721
40126,대구광역시 남구청,대구광역시 남구 대봉로38길 13-2,생활방범,35.85480822,128.6033676
40127,대구광역시 남구청,대구광역시 남구 명덕로64길 12,생활방범,35.8542509,128.604858
40128,대구광역시 남구청,대구광역시 남구 명덕로64길 35,생활방범,35.85325042,128.6048614
40129,대구광역시 남구청,대구광역시 남구 명덕로68길 12,생활방범,35.85422304,128.6060506
40130,대구광역시 남구청,대구광역시 남구 대봉로30길 19,생활방범,35.85184731,128.604275
40131,대구광역시 남구청,대구광역시 남구 대봉로32길 6-1,생활방범,35.85237424,128.6034487
40132,대구광역시 남구청,대구광역시 남구 이천로28길 8-71,생활방범,35.85229865,128.6000069
40133,대구광역시 남구청,대구광역시 남구 이천로28길 43-1,생활방범,35.85476058,128.6002893
40134,대구광역시 남구청,대구광역시 남구 이천로32길 7-1,생활방범,35.85469546,128.5988938
40135,대구광역시 남구청,대구광역시 남구 이천로 136,생활방범,35.85335375,128.5986401
40136,대구광역시 남구청,대구광역시 남구 이천로27길 26,생활방범,35.85193964,128.5976974
40137,대구광역시 남구청,대구광역시 남구 이천로29길 14,생활방범,35.85382717,128.5976916
40138,대구광역시 남구청,대구광역시 남구 이천로29길 28-8,생활방범,35.85379493,128.5969274
40139,대구광역시 남구청,대구광역시 남구 이천로29길 88-2,생활방범,35.85099988,128.5971167
40140,대구광역시 남구청,대구광역시 남구 이천로19길 22,생활방범,35.85006138,128.5973422
40141,대구광역시 남구청,대구광역시 남구 대봉로 116-86,생활방범,35.84879871,128.6046947
40142,대구광역시 남구청,대구광역시 남구 명덕로 228-4,생활방범,35.85607625,128.5949184
40143,대구광역시 남구청,대구광역시 남구 명덕로68길 56,생활방범,35.85254299,128.6057307
40144,대구광역시 남구청,대구광역시 남구 명덕로66길 3-2,생활방범,35.85479779,128.6054379
40145,대구광역시 남구청,대구광역시 남구 대봉로 172-2,생활방범,35.85406277,128.6028415
40146,대구광역시 남구청,대구광역시 남구 중앙대로32길 110,생활방범,35.84757728,128.5966261
40147,대구광역시 남구청,대구광역시 남구 봉덕로13길 30-1,생활방범,35.84633876,128.5973695
40148,대구광역시 남구청,대구광역시 남구 봉덕로13길 54-1,생활방범,35.84739504,128.5970232
40149,대구광역시 남구청,대구광역시 남구 중앙대로 36길 7-2,생활방범,35.84856007,128.5910981
40150,대구광역시 남구청,대구광역시 남구 봉덕로7길 18,생활방범,35.84653086,128.5949908
40151,대구광역시 남구청,대구광역시 남구 봉덕로11길 14-1,생활방범,35.84571442,128.5960475
40152,대구광역시 남구청,대구광역시 남구 중앙대로32길 46,생활방범,35.84718928,128.5930806
40153,대구광역시 남구청,대구광역시 남구 이천로 64,생활방범,35.8468456,128.5987572
40154,대구광역시 남구청,대구광역시 남구 봉덕공원길 15,생활방범,35.84225854,128.6057962
40155,대구광역시 남구청,대구광역시 남구 신촌길 111,생활방범,35.83890175,128.6047744
40156,대구광역시 남구청,대구광역시 남구 대덕로40길 98,생활방범,35.83676993,128.6039169
40157,대구광역시 남구청,대구광역시 남구 용두길 32,생활방범,35.83367593,128.6044026
40158,대구광역시 남구청,대구광역시 남구 삼정길 46,생활방범,35.84021955,128.5953975
40159,대구광역시 남구청,대구광역시 남구 봉덕로12길 23,생활방범,35.84375349,128.5970623
40160,대구광역시 남구청,대구광역시 남구 이천로7길 69,생활방범,35.84380433,128.5940848
40161,대구광역시 남구청,대구광역시 남구 신촌길 22,생활방범,35.83823156,128.6000316
40162,대구광역시 남구청,대구광역시 남구 삼정2길 71-116,생활방범,35.83676144,128.5966113
40163,대구광역시 남구청,대구광역시 남구 장전1길 135,생활방범,35.8403583,128.5780968
40164,대구광역시 남구청,대구광역시 남구 두류공원로16길 69-1,생활방범,35.84455305,128.5735997
40165,대구광역시 남구청,대구광역시 남구 대경길 185,생활방범,35.84514556,128.575973
40166,대구광역시 남구청,대구광역시 남구 현충로29길 26,생활방범,35.84598089,128.5784477
40167,대구광역시 남구청,대구광역시 남구 중앙대로51길 32,생활방범,35.85639511,128.5887538
40168,대구광역시 남구청,대구광역시 남구 중앙대로51길 75,생활방범,35.85601922,128.5861646
